repo,average_avg_lines_added_to_files,average_code_churn_avg,average_code_churn_max,average_code_churn_total,average_contributor_experience,average_contributors,average_dmm_method_cyclomatic_complexity,average_dmm_method_lines_of_code,average_dmm_method_number_of_parameters,average_files_modified_per_commit,average_history_complexity,average_hunks,average_lines_added_per_commit,average_lines_added_to_files,average_lines_deleted_from_files,average_lines_deleted_per_commit,average_minor_contributors,change_set_avg,change_set_max,developer_count,developers,files_modified,lines_added,lines_deleted,repo_url,total_commits
ICSE2021_421,710.3027888446215,631.593625498008,715.7171314741036,259.1195219123506,98.43268292682926,1.0731707317073171,0.6396515882213885,0.3962492137571378,0.7561434500594884,10.033333333333331,0.3517073170731707,1.1454183266932272,6062.366666666667,724.5856573705179,465.46613545816734,3894.4,0.024390243902439,10,161,4,"['Chengcheng Wan', 'mlapistudy', 'George Liu Local Laptop', 'ML API STUDY']",301,181871,116832,https://github.com/mlapistudy/ICSE2021_421,30
ICSE2022_158,394.7647058823529,386.9372549019608,421.6078431372549,268.09019607843135,99.71738461538462,1.035897435897436,0.8398375868182631,0.8659314562696206,0.820605156070257,10.555555555555555,0.3216410256410257,0.8392156862745098,2994.6666666666665,422.77647058823527,154.68627450980392,1095.6944444444443,0.0205128205128205,11,188,4,"['Chengcheng Wan', 'GeorgeL', 'Shicheng Liu local MacBook Air', 'mlapistudy']",380,107808,39445,https://github.com/mlapistudy/ICSE2022_158,36
IaC_Defect_Categ_Revamp,31.257142857142856,27.65714285714286,53.57142857142857,104.0,100.0,1.0,0.8626245517277246,0.7720173572983667,0.8556632720831646,2.15,2.4471428571428566,1.7285714285714286,40.06666666666667,137.37142857142857,33.371428571428574,9.733333333333333,0.0,2,6,1,['Akond Rahman'],258,4808,1168,https://github.com/akondrahman/IaC_Defect_Categ_Revamp,120
IacSec,39.37864077669903,37.10679611650485,54.9126213592233,81.97087378640776,99.34010638297872,1.0957446808510638,0.9122899249335762,0.8648999152768567,0.9452669079914856,1.5524861878453038,0.935212765957447,1.558252427184466,28.864640883977906,101.44660194174756,19.475728155339805,5.541436464088398,0.0531914893617021,2,7,2,"['Akond Rahman', 'efarhan']",562,10449,2006,https://github.com/akondrahman/IacSec,362
Librarian,1.913223140495868,1.568870523415978,2.6349862258953167,1.4742883379247016,99.00758463870642,1.0237493683678625,0.5789473684210527,0.5789473684210527,1.0,47.72,0.0197928246589186,0.9143709825528008,89.58666666666667,3.0849403122130394,1.6106519742883378,46.77333333333333,0.0005053057099545,48,1961,3,"['anonymous-icse2021', 'salmanee', 'root']",3579,6719,3508,https://github.com/salmanee/Librarian,75
LogPub,740.8990066225166,740.7980132450331,741.8062913907285,740.8940397350993,99.90034403669723,1.0045871559633028,0.7353839194843379,0.6566210562026462,0.8057220400316635,63.91666666666666,0.1388761467889911,0.7491721854304636,37346.41666666666,741.9817880794702,1.0877483443708609,54.75,0.0022935779816513,64,568,3,"['Zhihan JIANG', 'zhjiang22', 'issta-submission']",767,448157,657,https://github.com/logpai/LogPub,12
MavenEcoSysResearch,155.2659303313509,155.2657604078165,155.27578589634663,155.27782497875955,99.99701510470304,1.0001716443529007,0.4329159212880143,0.0322003577817531,0.851520572450805,1472.25,0.0077016821146584,0.9899745114698386,228453.5,155.27850467289718,0.000679694137638,1.0,0.0,1472,5774,2,"['Alan', 'simplealanwu']",5889,913814,4,https://github.com/CGCL-codes/MavenEcoSysResearch,4
NL2Type,14759.020833333334,12300.395833333334,14773.645833333334,30.875,92.44380952380952,1.3571428571428572,0.7496676067667274,0.7900186108388999,0.8768472707103526,3.4489795918367347,1.0440476190476191,1.21875,19296.48979591837,19698.5,19667.625,19266.244897959183,0.0714285714285714,3,15,3,"['Michael Pradel', 'Rabee Sohail Malik', 'Jibesh Patra']",169,945528,944046,https://github.com/sola-da/NL2Type,49
NLQF,15.0,13.076923076923077,54.23076923076923,58.15384615384615,100.0,1.0,0.8655660377358491,0.7122641509433962,0.6014150943396226,3.0526315789473686,7.181818181818181,1.1923076923076923,49.21052631578947,71.92307692307692,13.76923076923077,9.421052631578949,0.0,3,9,3,"['Zhensu Sun', 'v587su', 'zhensu sun']",58,935,179,https://github.com/v587su/NLQF,19
Nalin,94.34482758620688,92.74137931034484,116.43103448275862,211.6034482758621,99.99696428571428,1.0178571428571428,0.7578311560612444,0.427199513040221,0.6764526853022428,5.222222222222222,1.5078571428571423,1.2586206896551724,472.4074074074074,219.91379310344828,8.310344827586206,17.85185185185185,0.0178571428571428,5,46,2,"['Michael Pradel', 'Jibesh Patra']",141,12755,482,https://github.com/sola-st/Nalin,27
